,Species,Opsin_Family,Accession,Lambda_Max,Prediction,Difference
S170,Oryzias_latipes,Rh2,AB223053.1,452.0,450.7153762146533,-1.284623785346696
S830,Anolis_carolinensis,SWS2,AF133907_I46A_V49I_G164A,438.0,438.8652675986636,0.8652675986635927
S47,Bos_taurus,Rh1,NM_001014890_E122Q,483.0,488.07064886388116,5.070648863881161
S362,Poecilia_reticulata,LWS1,AB748984,562.0,553.2322462015,-8.767753798500053
S247,Cottus_gobio,SWS2,AJ430489_P215G,465.0,462.3627396676787,-2.6372603323213184
S507,Carassius_auratus,SWS2,L11864.1,443.0,442.6648116709549,-0.33518832904508145
S702,Loxodonta_africana,Rh1,AY686752.1_N83D,498.0,497.1188575065534,-0.881142493446589
S456,Oryzias_latipes,Rh2,AB223055,492.0,497.8889267190423,5.888926719042274
S431,Argopecten_irradians,Rtc,KX550908.1_M204L_Y211W,513.0,514.6288681556775,1.6288681556775373
S591,swsanc1_sp.,UVS,"swsanc1_G82A,L85I,C86V,I87T,S92F,F96V,S98A,L99S,R100Q",362.0,358.82488910772975,-3.1751108922702542
S862,Drosophila_melanogaster,IV-RH,AY060299_K168E,450.0,407.337250549827,-42.66274945017301
S29,Oreochromis_niloticus,Rh1,AB084938.1,505.0,501.93049270961393,-3.0695072903860705
S22,Gnathochromis_permaxillaris,Rh1,AB084932.1,497.0,498.1800369304291,1.1800369304290825
S289,Xenopus_laevis,Rh1,L07770.1,502.0,501.0258491441343,-0.9741508558656733
S854,Drosophila_melanogaster,Rh-MWS,U67905.1_T173I_W176Y,434.0,429.0167041866563,-4.983295813343716
S708,Loxodonta_africana,SWS1,"AY686753.1_I92T,V116L",411.0,392.7636332278083,-18.236366772191673
S593,swsanc1_sp.,UVS,"swsanc1_H107R,V109L,L112M,L116M,V119I,I137V",361.0,368.4483442095037,7.448344209503716
S350,Eumaeus_atala,BRh1,MN831881.1_Y179F,516.0,498.5436765689618,-17.456323431038186
S130,Stenobrachius_leucopsarus,Rh1,EU407251_Q122E,499.0,500.60289221150185,1.6028922115018531
S639,swsanc3_sp.,UVS,"swsanc3_F49L,F86M,V91I,T93P,V109A,E113D,L116V,S118T",422.0,409.6470490011582,-12.352950998841777
S661,swsanc3_sp.,UVS,"swsanc3_F46M,F86M,V91I,T93P",383.0,384.5224109053385,1.5224109053385178
S236,Mus_musculus,SWS1,NP_031564.1,359.0,358.6882125732272,-0.3117874267728098
S203,Cottus_gobio,SWS2,AJ430489.1_T118A,458.0,455.7240983699872,-2.275901630012811
S157,"Bos,Sebastolobus_taurus,altivelis",Rh1,NM_001014890_1_277-DQ490124.1_278_348,490.0,490.37083097089646,0.37083097089646344
S660,swsanc3_sp.,UVS,"swsanc3_A111S,E113D,L116V,S118T,A120T",363.0,373.06442152704733,10.06442152704733
S807,Saimiri_sciureus,LWS,AH006281_F232I,559.0,558.0225473755925,-0.9774526244075332
S294,Taeniopygia_guttata,Rh1,AF222329,502.0,499.3945618284674,-2.605438171532626
S568,AncEutelo3_sp.,Rh2,AncEutelo3,474.0,475.12411316379576,1.124113163795755
S90,Sebastolobus_altivelis,Rh1,DQ490124,483.0,486.5616786753656,3.561678675365613
S579,Latimeria_chalumnae,Rh2,AH007713.2_Q122E,491.0,491.81618449878755,0.8161844987875497
S703,Loxodonta_africana,SWS1,AY686753.1_S86F,367.0,384.42618049480535,17.42618049480535
S268,Papilio_xuthus,"Rh1,Rh3",AB007423.1_1_58-AB007425.1_59_83-AB007423.1[A115C]_84_379,543.0,545.6022428243385,2.602242824338532
S554,Gallus_gallus,MWS,NM_205490.1_Q122E,525.0,518.189119077385,-6.810880922614956
S309,Gallus_gallus,SWS2,M92037,455.0,454.9371648810655,-0.06283511893451532
S241,Delphinus_delphis,Rh1,AF055314,489.0,491.5632320569132,2.5632320569131934
S298,Anolis_carolinensis,Rh2,AH007735.2,495.0,494.42752648742135,-0.5724735125786538
S172,Oryzias_latipes,Rh2,AB223053.1_Q122E_S292A,469.0,471.4475101223572,2.447510122357187
S745,lwsanc_pigmentz_sp.,LWS,lwsanc_pigmentz_V76A,532.0,530.9010112357644,-1.098988764235628
S343,Eumaeus_atala,LWRh,MN831883.1,569.0,561.4137939119282,-7.586206088071776
S442,Carassius_auratus,SWS1,D85863.1_F86Y,420.0,370.19052498523945,-49.80947501476055
S766,Sympetrum_frequens,IV-LWS,LC009061,557.0,553.3551255421713,-3.644874457828678
S612,swsanc5'_sp.,UVS,swsanc5',393.0,376.9274353167399,-16.07256468326011
S775,Physeter_catodon,Rh1,XM_007126220_T195H,482.0,482.43536400214475,0.4353640021447518
S383,Columba_livia,SWS1,AJ238856_V116M,380.0,381.10628320199777,1.106283201997769
S657,swsanc3_sp.,UVS,"swsanc3_E113D,L116V,S118T,V119L",361.0,371.5110494288946,10.51104942889458
S235,Homo_sapiens,SWS1,AH003620.2,414.0,414.1711340284029,0.17113402840288927
S863,Limulus_polyphemus,IV-RH,L03782.1,513.0,515.9324666267026,2.9324666267026487
S715,Chrysochroa_rajah,IV-UVS,OP722931.1,356.0,355.1198787645722,-0.8801212354277936
S798,Saimiri_sciureus,LWS,AH006283,532.0,533.7718646604517,1.7718646604516834
S444,Carassius_auratus,SWS1,D85863.1_F86M,360.0,370.19052498523945,10.190524985239449
S720,Chrysochroa_mniszechii,IV-LWS,OP722949.1,572.0,570.6025022759816,-1.3974977240184216
S357,Eumaeus_atala,BRh1,MN831881.1_Y179F_I207C_F208C,520.0,515.2935903210301,-4.706409678969862
S83,Rod_ancestor_pigmenth,Rh1,pigmenth,502.0,500.4928674386591,-1.5071325613408817
S604,swsanc5_sp.,UVS,"swsanc5_F84S,S118A",369.0,367.0836076245388,-1.9163923754612142
S793,Laticauda_semifasciata,Rh1,LC543599,482.0,482.23820496178666,0.23820496178666417
S622,"swsanc3,Xenopus_sp.,laevis",UVS,swsanc3_1_30-NM_001085652.1_31_98-swsanc3_99_350,389.0,390.3814558585499,1.3814558585498844
S688,Mus_musculus,UVS,NP_031564.1_V137I,359.0,358.6882125732272,-0.3117874267728098
S786,Xenopus_laevis,SWS1,NM_001085652.1_D114E,415.0,404.4529676294034,-10.547032370596582
S536,Danio_rerio,Rh2,NM_182891.2,476.0,472.0457888256417,-3.9542111743583064
S329,Taeniopygia_guttata,SWS,AF222331,359.0,366.7877858089624,7.787785808962383
S398,Platynereis_dumerilii,LWS,AY692353.1_K94A,492.0,468.9928850551733,-23.007114944826697
S42,Tachyglossus_aculeatus,Rh1,JX103830_T158A,498.0,498.845629562137,0.8456295621369918
S407,Drosophila_melanogaster,Inv-Rh1,NM_079683.3_D124N,486.0,487.96219522153444,1.9621952215344436
S810,lwsancestor_pigmentd,LWS,lwsanc_pigmentd_S180A,555.0,542.4138699817213,-12.586130018278709
S61,Bos_taurus,Rh1,NM_001014890_A164G,500.0,498.84775364300134,-1.1522463569986598
S607,swsanc5_sp.,UVS,"swsanc5_F49V,F84S,S118A,L85I",374.0,371.0407147559546,-2.959285244045418
S163,Anolis_carolinensis,Rh2,NM_001291394.1_T97A,488.0,487.516190706014,-0.4838092939859848
S279,Papilio_xuthus,"Rh1,Rh3","AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_129-AB007425.1[G116A,Y120F]_130_152-AB007423.1_153_379",549.0,549.7487107641497,0.7487107641496777
